L_http,L_https,L_numHyphens,L_numParams,L_numSubDomains,L_paramLen,L_pathLen,M_app,M_hasFBUrl,M_hasFBappURL,M_hasFBeventURL,M_hasLink,M_hasMessage,M_hasPicture,M_hasStory,M_length_of_link,M_postType,T_!,T_!!,T_:(,T_:),T_?,T_??,T_avgSentLen,T_avgWordLen,T_engDictWords,T_hashtagsPerWord,T_numChars,T_numHashtags,T_numSentences,T_numUrls,T_numWords,T_textRepFactor,T_upperCaseChars,T_urlsPerWord,U_category,U_gender,U_hasUsername,U_isPage,U_lenName,U_lenUsername,U_locale,U_pageLikes,U_wordsInName,Z_CLASS
1,0,6,0,3.0,0,3.0,web,0,0,0,1,1,1,0,79,1,0,0,0,0,0,0,79.0,79.0,0,0.0,79,0,1,2,1,1.0,0,2.0,0,1,1,0,12,12,4,0,2,Spam
1,0,8,0,3.0,0,5.0,thirdparty,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,170.0,9.6875,0,0.0,306,0,2,1,32,1.0,68,0.03125,6,0,0,1,12,0,0,46914,2,Spam
1,0,10,0,2.0,0,2.0,web,0,0,0,1,1,1,0,74,1,1,0,0,0,0,0,59.0,4.454545454545454,6,0.0,49,0,1,1,11,1.0,5,0.09090909090909091,6,0,1,1,15,17,0,136900,2,Spam
1,0,0,2,3.0,22.0,2.0,web,0,0,0,1,1,1,0,70,3,0,0,0,0,1,0,105.0,16.666666666666668,4,0.0,99,0,1,2,6,1.0,5,0.3333333333333333,0,1,1,0,10,12,1,0,2,Spam
1,0,0,0,3.0,0,3.0,web,0,0,0,1,1,1,0,43,1,0,0,0,0,0,0,54.0,5.111111111111111,0,0.0,46,0,1,2,9,3.0,3,0.2222222222222222,7,0,1,1,4,9,0,1441667,1,Spam
1,0,7,0,3.0,0,3.0,contentsharing,0,0,0,1,0,1,1,89,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,13,12,2,0,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,98.0,10.0,3,0.0,90,0,1,2,9,1.0,10,0.2222222222222222,2,0,0,1,12,0,0,524,2,Spam
1,0,28,0,2.0,0,1.0,web,0,0,0,1,1,1,0,106,1,0,0,0,0,0,0,106.0,106.0,0,0.0,106,0,1,2,1,1.0,0,2.0,0,1,1,0,13,10,1,0,2,Spam
1,0,0,0,4.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,162.0,12.583333333333334,3,0.0,150,0,1,1,12,1.0909090909090908,10,0.08333333333333333,3,0,0,1,46,0,0,223,9,Spam
1,0,3,0,3.0,0,3.0,web,0,0,0,1,0,1,1,71,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,14,14,10,0,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,88.0,5.846153846153846,7,0.0,76,0,1,1,13,1.0,11,0.07692307692307693,0,1,1,0,18,11,1,0,3,Spam
1,0,15,0,3.0,0,2.0,web,0,0,0,1,1,1,0,101,1,0,0,0,0,1,0,25.5,3.8181818181818183,9,0.0,42,0,2,1,11,1.0,12,0.09090909090909091,8,0,1,1,7,7,0,314,1,Spam
1,0,8,0,3.0,0,1.0,contentsharing,0,0,0,1,1,1,0,73,1,0,0,0,0,0,0,49.666666666666664,9.133333333333333,12,0.0,137,0,3,2,15,1.0,4,0.13333333333333333,0,1,1,0,12,14,3,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,0,1,1,22,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,18,11,1,0,2,Spam
1,0,16,0,2.0,0,2.0,web,0,0,0,1,1,1,0,108,1,1,1,0,0,0,0,65.0,4.541666666666667,17,0.0,107,0,2,1,24,1.0434782608695652,18,0.041666666666666664,6,0,1,1,5,5,0,126309,1,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,0,0,21,1,0,0,0,0,0,0,50.5,7.0,9,0.0,91,0,2,2,13,1.0,13,0.15384615384615385,1,0,1,1,17,15,0,965,3,Spam
1,0,0,0,4.0,0,1.0,web,0,0,0,1,1,1,0,22,1,1,0,0,0,0,0,29.238095238095237,5.614583333333333,66,0.0,529,0,21,1,96,1.28,151,0.010416666666666666,0,0,0,0,11,0,0,0,2,Spam
1,0,10,0,2.0,0,1.0,mobile,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,113.5,8.541666666666666,17,0.0,205,0,2,2,24,1.1428571428571428,18,0.08333333333333333,0,2,1,0,10,15,1,0,2,Spam
1,0,4,0,2.5,0,1.5,contentsharing,0,0,0,1,1,1,0,52,1,0,0,0,0,0,0,58.0,7.428571428571429,4,0.0,52,0,1,2,7,1.0,6,0.2857142857142857,4,0,1,1,21,14,0,130125,3,Spam
1,0,9,0,2.0,0,2.0,contentsharing,0,0,0,1,0,1,1,92,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,14,14,6,0,2,Spam
1,0,0,4,2.0,6.25,1.0,web,0,0,0,1,1,1,0,51,1,0,0,0,0,0,0,34.0,3.375,6,0.0,27,0,1,1,8,1.0,1,0.125,0,1,1,0,10,13,3,0,2,Spam
1,0,15,0,2.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,240.0,13.176470588235293,12,0.0,222,0,1,1,17,1.0,14,0.058823529411764705,9,0,1,1,16,14,0,61420,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,54.0,6.857142857142857,5,0.0,48,0,1,1,7,1.0,1,0.14285714285714285,0,1,1,0,23,8,3,0,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,33.333333333333336,6.357142857142857,11,0.0,89,0,3,1,14,1.0,14,0.07142857142857142,10,0,1,1,22,7,0,92351,4,Spam
1,1,266,390,2.96958174904943,15.217948717948717,1.8136882129277567,web,1,0,0,1,1,1,0,57,3,1,1,0,0,1,1,215.64125560538116,9.893966681674922,2887,0.002026114362899595,43236,9,223,197,4442,2.2044665012406948,8767,0.04434939216569113,0,1,1,0,13,13,2,0,2,Spam
1,0,7,0,3.0,0,3.0,mobile,0,0,0,1,0,1,1,89,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,2,1,0,11,15,2,0,2,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,1,1,0,0,44,1,1,1,0,0,0,0,80.33333333333333,8.226415094339623,44,0.0,424,0,6,1,53,1.1041666666666667,43,0.018867924528301886,0,2,1,0,16,8,1,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,56.666666666666664,4.9655172413793105,18,0.0,142,0,3,1,29,1.16,23,0.034482758620689655,11,0,1,1,14,13,0,118572,3,Spam
1,0,12,0,3.0,0,4.0,contentsharing,0,0,0,1,0,1,1,126,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,2,1,0,14,16,1,0,2,Spam
1,0,9,0,3.0,0,2.0,contentsharing,0,0,0,1,1,1,0,86,1,0,0,0,0,0,0,47.0,5.0,7,0.0,40,0,1,1,8,1.0,2,0.125,0,1,1,0,12,12,1,0,2,Spam
1,0,12,0,2.0,0,2.0,web,0,0,0,1,1,1,0,98,1,1,0,0,0,0,0,82.0,4.928571428571429,12,0.0,69,0,1,1,14,1.0,7,0.07142857142857142,6,0,1,1,5,5,0,126309,1,Spam
1,0,0,1,3.0,7.0,2.0,contentsharing,0,0,0,1,0,1,1,44,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,12,16,1,0,2,Spam
1,0,0,6,4.0,17.333333333333332,1.0,web,0,0,0,1,1,1,0,90,1,0,0,0,0,1,0,186.0,10.6875,5,0.0,171,0,1,2,16,1.0666666666666667,9,0.125,13,0,1,1,18,17,0,298,1,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,1,1,1,0,28,1,0,0,0,0,0,0,72.0,9.428571428571429,2,0.14285714285714285,64,1,1,2,7,1.0,2,0.2857142857142857,0,2,1,0,0,16,8,0,0,Spam
1,0,2,0,3.0,0,2.0,web,0,0,0,1,1,1,0,105,1,0,0,0,0,1,0,19.0,9.0,1,0.0,34,0,2,1,4,1.0,4,0.25,0,1,1,0,10,10,1,0,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,1,0,1,1,21,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,13,12,7,0,3,Spam
1,0,0,2,3.0,16.0,1.0,web,0,0,0,1,1,1,0,45,1,0,0,0,0,1,0,94.0,6.074074074074074,24,0.0,162,0,2,2,27,1.125,2,0.07407407407407407,14,0,1,1,14,13,0,1302,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,31,1,1,1,0,0,1,0,114.5,5.078947368421052,55,0.0,380,0,4,3,76,1.1875,210,0.039473684210526314,0,2,1,0,18,14,1,0,3,Spam
1,0,4,0,2.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,45.0,17.6,3,0.0,86,0,2,1,5,1.0,4,0.2,3,0,0,1,14,0,0,33259,3,Spam
1,0,11,0,2.0,0,5.0,mobile,0,0,0,1,0,1,1,118,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,2,1,0,20,21,3,0,4,Spam
1,0,12,0,3.0,0,4.0,contentsharing,0,0,0,1,0,1,1,126,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,2,0,1,1,12,11,0,58,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,62.0,8.0,5,0.0,55,0,1,1,7,1.0,4,0.14285714285714285,0,2,1,0,20,15,1,0,3,Spam
1,0,10,0,3.0,0,1.0,thirdparty,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,138.0,18.857142857142858,5,0.0,132,0,1,1,7,1.0,0,0.14285714285714285,2,0,0,1,16,0,0,0,3,Spam
1,0,5,3,3.0,23.0,2.0,contentsharing,1,0,0,1,1,1,1,105,4,0,0,0,0,0,0,163.875,5.29047619047619,183,0.0,1102,0,8,2,210,1.640625,57,0.009523809523809525,0,1,1,0,30,9,1,0,5,Spam
1,0,16,0,3.0,0,4.0,web,0,0,0,1,1,1,0,113,3,0,0,0,0,0,0,113.0,113.0,0,0.0,113,0,1,2,1,1.0,0,2.0,0,2,1,0,14,9,2,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,20,1,0,0,0,0,0,0,80.0,7.1,7,0.0,69,0,1,2,10,1.0,16,0.2,0,0,0,0,7,0,0,0,2,Spam
1,0,19,0,2.0,0,5.0,web,0,0,0,1,0,1,1,141,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,12,12,1,0,2,Spam
1,0,9,0,3.0,0,3.0,mobile,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,126.0,30.75,1,0.0,121,0,1,1,4,1.0,1,0.25,1,0,0,1,8,0,0,395,1,Spam
1,0,12,0,3.0,0,4.0,mobile,0,0,0,1,1,1,0,126,1,0,0,0,0,0,0,47.0,4.333333333333333,16,0.0,78,0,2,1,18,1.125,4,0.05555555555555555,0,2,1,0,14,13,1,0,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,31,1,1,1,0,0,1,0,114.5,5.078947368421052,55,0.0,380,0,4,3,76,1.1875,210,0.039473684210526314,0,2,1,0,18,14,1,0,3,Spam
1,0,12,0,3.0,0,4.0,contentsharing,0,0,0,1,1,1,0,126,1,1,0,0,0,1,0,13.666666666666666,4.375,7,0.0,35,0,3,1,8,1.0,2,0.125,0,1,1,0,14,14,1,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,21,1,0,0,0,0,0,0,81.0,7.2,7,0.0,70,0,1,2,10,1.0,14,0.2,0,0,0,0,11,0,0,0,2,Spam
1,0,3,0,3.0,0,2.0,web,0,0,0,1,1,1,0,71,1,0,0,0,0,0,0,28.0,28.0,0,0.0,28,0,1,2,1,1.0,0,2.0,0,1,1,0,0,14,10,0,0,Spam
1,0,10,0,3.0,0,7.0,contentsharing,0,0,0,1,1,1,0,150,1,0,0,0,0,0,0,74.0,0.6304347826086957,1,0.0,26,0,1,1,46,5.75,3,0.021739130434782608,0,2,1,0,15,15,9,0,2,Spam
1,0,8,0,3.0,0,1.0,web,0,0,0,1,1,0,0,101,1,0,0,0,0,0,0,51.0,6.428571428571429,0,0.0,45,0,1,1,7,1.0,3,0.14285714285714285,0,1,1,0,14,14,7,0,2,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,1,1,1,0,32,1,1,1,0,0,0,0,34.25,7.8125,10,0.0,122,0,4,1,16,1.0666666666666667,5,0.0625,0,1,1,0,14,11,1,0,2,Spam
1,0,11,0,3.0,0,5.0,contentsharing,0,0,0,1,1,1,0,124,1,0,0,0,0,0,0,246.0,5.675675675675675,1,0.0,210,0,1,1,37,1.121212121212121,15,0.02702702702702703,0,1,1,0,16,43,19,0,2,Spam
1,0,13,0,2.0,0,5.0,mobile,0,0,0,1,0,1,1,122,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,0,0,11,0,2,0,2,Spam
1,0,9,0,2.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,76.0,14.5,7,0.0,143,0,2,1,10,1.0,9,0.1,3,0,0,1,24,0,0,62410,5,Spam
1,0,0,1,3.0,22.0,2.0,web,0,0,0,1,1,1,0,70,3,1,0,0,0,0,0,12.666666666666666,5.833333333333333,3,0.0,35,0,3,1,6,1.0,4,0.16666666666666666,0,2,1,0,12,10,1,0,2,Spam
1,0,5,0,2.0,0,5.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,101.0,5.666666666666667,95,0.0,689,0,8,1,123,1.28125,39,0.008130081300813009,0,2,1,0,17,17,1,0,2,Spam
1,0,13,0,2.0,0,5.0,mobile,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,122.0,122.0,0,0.0,122,0,1,1,1,1.0,0,1.0,0,1,1,0,5,10,2,0,2,Spam
1,0,0,1,3.0,22.0,2.0,web,0,0,0,1,0,1,1,70,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,21,16,1,0,3,Spam
1,1,12,49,3.0,20.285714285714285,1.4285714285714286,contentsharing,1,0,0,1,1,1,1,110,4,1,1,0,0,1,1,119.74795081967213,5.073476518343439,8298,0.0,48978,0,488,18,9731,2.833721607454863,1572,0.0018497585037508992,0,0,0,0,14,0,0,0,2,Spam
1,0,0,1,3.0,22.0,2.0,web,0,0,0,1,0,1,1,70,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,13,17,1,0,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,79.0,6.2727272727272725,6,0.0,69,0,1,1,11,1.0,10,0.09090909090909091,12,0,0,1,17,0,0,17,2,Spam
1,0,8,0,2.0,0,2.0,web,0,0,0,1,1,1,0,72,1,1,0,0,0,0,0,79.0,5.153846153846154,8,0.0,65,0,1,1,13,1.0,9,0.07692307692307693,15,0,1,1,14,9,0,45661,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,18.4,6.538461538461538,11,0.0,84,0,5,1,13,1.0,8,0.07692307692307693,0,1,1,0,17,9,1,0,2,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,84.0,12.153846153846153,10,0.0,156,0,2,1,13,1.1818181818181819,7,0.07692307692307693,0,2,1,0,14,18,1,0,2,Spam
